Lektion;Hebräisch;Deutsch;Wortart;;
1;לחמנייה;Brötchen;Nomen;;
1;לילה;Nacht;Nomen;;
1;מִסְפָּר;Nummer / Zahl;Nomen;;
1;ספרייה;Bibliothek;Nomen;;
1;עבודה;Arbeit;Nomen;;
1;ערב;Abend;Nomen;;
1;צהריים;Mittag;Nomen;;
1;רחוב;Straße;Nomen;;
1;שירותים;Toilette / WC;Nomen;;
1;אוטובוס;Bus;Nomen;;
1;הלו;Hallo (am Telefon);Nomen;;
1;ארכאולוג / ארכאולוגית;Archäologe / Archäologin;Nomen;;
1;דוקטור;Doktor / Ärztin;Nomen;;
1;היסטוריה;Geschichte (Fach);Nomen;;
1;סימפוניה;Sinfonie;Nomen;;
1;רוק;Rock (Musik);Nomen;;
1;ציבורי;öffentlich;Adjektiv;;
1;אין דבר;macht nichts / bitte;Andere;;
1;בטח;natürlich / sicher;Andere;;
1;גם וגם;sowohl... als auch;Andere;;
1;ימינה;nach rechts;Andere;;
1;ישר;geradeaus;Andere;;
1;מודיעין;Auskunft / Telefonbuch;Nomen;;
1;נכון;richtig / stimmt;Andere;;
1;שמאלה;nach links;Andere;;
1;שתי-;zwei (vor Nomen);Andere;;
1;איך?;wie?;Fragewort;;
1;כמה?;wie viel / wie viele?;Fragewort;;
1;מתי?;wann?;Fragewort;;
  יחידה / Einheit 2;;;;;
2;אהבה;Liebe;Nomen;;
2;ארמון;Schloss / Palast;Nomen;;
2;בחור / בחורה;junger Mann / junge Frau;Nomen;;
2;גינה;Garten;Nomen;;
2;דירה;Wohnung;Nomen;;
2;חדר;Zimmer;Nomen;;
2;חנוכייה;Chanukka-Leuchter;Nomen;;
2;מַחְבֶּרֶת;Heft / Notizbuch;Nomen;;
2;מטבח;Küche;Nomen;;
2;מקלחת;Dusche;Nomen;;
2;עץ;Baum;Nomen;;
2;ציור;Zeichnung / Gemälde;Nomen;;
2;שולחן;Tisch;Nomen;;
2;אמפיתאטרון;Amphitheater;Nomen;;
2;בלט;Ballett;Nomen;;
2;סלון;Wohnzimmer / Salon;Nomen;;
2;קיסר / קיסרית;Kaiser / Kaiserin;Nomen;;
2;גדול;groß;Adjektiv;;
2;חדש;neu;Adjektiv;;
2;טוב;gut;Adjektiv;;
2;יפה;schön / hübsch;Adjektiv;;
2;ישן;alt / antik;Adjektiv;;
2;מיוחד;besonders / speziell;Adjektiv;;
2;מצוין;ausgezeichnet;Adjektiv;;
2;נחמד;nett / angenehm;Adjektiv;;
2;עתיק;antik / uralt;Adjektiv;;
2;קטן;klein;Adjektiv;;
2;מודרני;modern;Adjektiv;;
2;קלסי;klassisch;Adjektiv;;
2;בקשר לְ ...;bezüglich / in Bezug auf;Andere;;
2;כמו;wie / ähnlich wie;Andere;;
2;למשל;zum Beispiel;Andere;;
2;לפעמים;manchmal;Andere;;
2;על שם;benannt nach;Andere;;
2;איזה? / איזו? / אִילּוּ?;welche/r/s?;Fragewort;;
  יחידה / Einheit 3;;;;;
3;אוֹכֵל;essen;Verb;;
3;יושב;sitzen;Verb;;
3;מטייל;spazieren gehen / reisen;Verb;;
3;עולה;kosten / aufsteigen;Verb;;
3;אוהל;Zelt;Nomen;;
3;אכסניה;Herberge / Hostel;Nomen;;
3;בית כנסת;Synagoge;Nomen;;
3;גבר;Mann;Nomen;;
3;דקה;Minute;Nomen;;
3;יום;Tag;Nomen;;
3;כיסא;Stuhl;Nomen;;
3;מיטה;Bett;Nomen;;
3;מילה;Wort;Nomen;;
3;מקום;Ort / Platz;Nomen;;
3;פִּיתָּה;Pita (Fladenbrot);Nomen;;
3;רהיט;Möbelstück;Nomen;;
3;שטיח;Teppich;Nomen;;
3;שקל;Schekel (Währung);Nomen;;
3;חומוס;Hummus / Kichererbsen;Nomen;;
3;כספומט;Geldautomat;Nomen;;
3;בדווי;Beduine;Nomen;;
3;אחר;anders / ein anderer;Adjektiv;;
3;בשרי;Fleisch- (nicht koscher mit Milch);Adjektiv;;
3;חלבי;Milch- (nicht koscher mit Fleisch);Adjektiv;;
3;ישראלי;israelisch;Adjektiv;;
3;אחד;eins (männl.);Zahl;;
3;שניים;zwei (männl.);Zahl;;
3;שלושה;drei (männl.);Zahl;;
3;ארבעה;vier (männl.);Zahl;;
3;חמישה;fünf (männl.);Zahl;;
3;שישה;sechs (männl.);Zahl;;
3;שבעה;sieben (männl.);Zahl;;
3;שְׁמוֹנָה;acht (männl.);Zahl;;
3;תשעה;neun (männl.);Zahl;;
3;עֲשַׂרָה;zehn (männl.);Zahl;;
3;אלף;tausend;Zahl;;
3;חמישים;fünfzig;Zahl;;
3;מאה;hundert;Zahl;;
3;אלפיים;zweitausend;Zahl;;
3;כל-;jeder / alle / jede;Andere;;
3;משהו;etwas;Andere;;
3;עוד;noch / mehr;Andere;;
3;תודה רבה;vielen Dank;Andere;;
  יחידה / Einheit 4;;;;;
4;מחפש;suchen;Verb;;
4;מכיר;kennen / erkennen;Verb;;
4;פוגש;treffen / begegnen;Verb;;
4;רואה;sehen;Verb;;
4;דּוֹד / דודה;Onkel / Tante;Nomen;;
